Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Pisco Sour,The Icons,"Barsol Quebranta Pisco, Lime, Sugar, Egg Whites","Combine pisco, lime, simple syrup, and egg white in a cocktail shaker without ice. Dry shake for 10 seconds. Add ice and shake again until chilled. Double strain into a chilled glass.",3 drops of Angostura bitters on the foam,Coupe or small rocks glass,The Bombay Canteen (Mumbai)
Penicillin,The Icons,"Dewar's Portuguese Smooth, Islay Scotch, Honey, Ginger, Lemon","Muddle fresh ginger in a shaker. Add blended scotch, lemon juice, and honey syrup. Shake with ice. Strain into a rocks glass over a large ice cube. Float Islay scotch on top.",Candied ginger or lemon peel,Rocks Glass,The Bombay Canteen (Mumbai)
Hotel Nacionale,The Icons,"Short Story Rum, Apricot, Pineapple, Citrus","Add rum, apricot liqueur, pineapple juice, and lime juice to a shaker with ice. Shake well. Strain into a chilled coupe glass.",Lime wheel or pineapple wedge,Coupe,The Bombay Canteen (Mumbai)
Bee's Knees,The Icons,"Short Story Gin, Himalayan Honey, Lemon","Combine gin, lemon juice, and honey syrup in a shaker with ice. Shake until well-chilled. Strain into a chilled cocktail glass.",Lemon twist,Coupe or Martini glass,The Bombay Canteen (Mumbai)
Paper Plane,The Icons,"Weller Special Reserve, Aperol, Amaro, Lemon","Combine bourbon, Aperol, Amaro Nonino, and fresh lemon juice in a shaker with ice. Shake until chilled. Strain into a chilled coupe glass.",None (or small paper plane),Coupe,The Bombay Canteen (Mumbai)
Tommy's Margarita,The Icons,"Camino Silver, Agave Nectar, Lime","Combine tequila, lime juice, and agave nectar in a shaker with ice. Shake well. Strain into a rocks glass filled with fresh ice.",Lime wheel,Rocks Glass,The Bombay Canteen (Mumbai)
Sazerac,Classic with a Twist,"Whisky (Blended/Rye), Cinnamon, Apple, Bitters","Rinse a chilled rocks glass with absinthe (optional) or use a cinnamon-apple reduction. Stir whiskey, simple syrup, and bitters with ice. Strain into the prepared glass.",Apple slice or lemon peel,Rocks Glass,PCO (New Delhi)
Chamomile Negroni,Signature,"Gin infused with Chamomile, Campari, Sweet Vermouth","Combine chamomile-infused gin, Campari, and sweet vermouth in a mixing glass with ice. Stir until chilled. Strain into a rocks glass over a large ice cube.",Dried chamomile flowers or orange peel,Rocks Glass,PCO (New Delhi)
Chawanprash Whisky Cocktail,Signature,"Whisky, Chawanprash (herbal jam), Spices",Incorporate Chawanprash into a whisky sour or old fashioned base. Shake or stir to ensure the jam is well-integrated.,Cinnamon stick,Rocks Glass,PCO (New Delhi)
Shoyu Ramen Cocktail,Signature (East Meets West),"Tequila, Sake, Shiro Miso, Savory elements",Combine tequila and sake with a shiro miso syrup. Shake with ice to balance the savory and sweet notes. Strain into a chilled glass.,Nori strip or savory garnish,Coupe or specialized ceramic,ZLB 23 (Bangalore)
Native (Local Ingredient Focused),Signature,"Local Himalayan flavors, seasonal fruits",Varies by season. Focus on hyper-local ingredients like sea buckthorn or wild berries.,Local botanical,Varies,ZLB 23 (Bangalore)
Turmeric Gin & Tonic,Infused Classics,"Turmeric-infused Gin, Orange Liqueur, Lime Juice, Tonic Water","Build the infused gin, orange liqueur, and lime juice in a highball glass over ice. Top with tonic water and stir gently.",Turmeric slice or orange wheel,Highball,The Library Bar (New Delhi)
Chilli Fellow,South Inspired,"Gin, fresh grapefruit juice, lime juice, Bellary chilli syrup, tonic water","Combine gin, grapefruit juice, lime juice, and chilli syrup in a shaker with ice. Shake well. Strain into a highball glass over fresh ice. Top with tonic water.",Fresh chilli or grapefruit slice,Highball,TOIT (Bangalore)
3am Chai,South Inspired,"Brandy, masala tea syrup, lime juice","Shake brandy, masala tea syrup, and lime juice with ice. Strain into a chilled glass.",Cinnamon stick or star anise,Rocks Glass or Coupe,TOIT (Bangalore)
Madikeri Sour,South Inspired,"Whisky, passion tea syrup, lime juice, egg white (optional)","Combine whisky, passion tea syrup, lime juice, and egg white (if using) in a shaker. Dry shake for 10 seconds. Add ice and shake again until chilled. Strain into a rocks glass.",Dried tea leaves or lemon twist,Rocks Glass,TOIT (Bangalore)
