Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Spicy Sour 1,South Inspired,"Gin, Betel Leaf, Cranberry Juice, Lime Juice","Combine Gin, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Windmills (Mumbai)
Masala Smash 2,Signature,"Vodka, Rose Syrup, Coconut Water, Lime Juice","Combine Vodka, Rose Syrup, and Coconut Water in a shaker with ice. Shake well and strain into a Highball. Top with Curry Leaf.",Curry Leaf,Highball,The Glass Onion (Mumbai)
Midnight Smash 3,Himalayan Flavors,"Rum, Kokum, Pineapple Juice, Lime Juice","Combine Rum, Kokum, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Joseph Bar (Pune)
Monsoon Smash 4,South Inspired,"Whisky, Black Salt, Orange Juice, Lime Juice","Combine Whisky, Black Salt, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Curry Leaf.",Curry Leaf,Jam Jar,Jamming Goat (Hyderabad)
Coastal Punch 5,South Inspired,"Brandy, Saffron, Sugar Syrup, Lime Juice","Combine Brandy, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Malaka Spice (Delhi)
Midnight Punch 6,Tropical,"Mezcal, Jaggery, Tonic Water, Lime Juice","Combine Mezcal, Jaggery, and Tonic Water in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Izumi (Hyderabad)
Cool Tonic 7,Signature,"Whisky, Kokum, Soda, Lime Juice","Combine Whisky, Kokum, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Rose Petals.",Rose Petals,Rocks Glass,RÜ (Delhi)
Desi Fizz 8,The Icons,"Brandy, Ginger, Cranberry Juice, Lime Juice","Combine Brandy, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,Indian Accent (Mumbai)
Masala Sling 9,Signature,"Rum, Betel Leaf, Orange Juice, Lime Juice","Combine Rum, Betel Leaf, and Orange Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lemon Peel.",Lemon Peel,Tiki Glass,Sorano (Chennai)
Silver Sour 10,Signature,"Brandy, Masala Chai, Ginger Ale, Lime Juice","Combine Brandy, Masala Chai, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Masque (Goa)
