Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Sidecar (House Version),Classic Signature,"Cognac; Bourbon; Roasted Corn; Lime Acid","Combine all ingredients in a shaker with ice; shake well; double strain into a chilled coupe","Sugared rim; lemon twist","Coupe","SIDECAR – GK2, New Delhi (sidecarindia.com)"
Yang's Old Fashioned,Stirred Spirit-Forward,"Bourbon Whiskey; House-made Bitters; Demerara Syrup; Orange Peel (expressed)","Build in a mixing glass with large ice; stir until well chilled; strain over a single large ice cube","Charred orange peel","Rock / Old Fashioned","SIDECAR – GK2, New Delhi"
Aunt Emily,Signature Creative,"Gin; Elderflower Liqueur; Cucumber Juice; Fresh Lime; House Cucumber Cordial","Shake all ingredients with ice; fine strain into chilled glass","Thin cucumber ribbon","Coupe","SIDECAR – GK2, New Delhi"
Dilli 6 Espresso Martini,Coffee Cocktail,"Espresso; Vodka; Coffee Liqueur; House Spice Syrup","Shake all ingredients vigorously with ice until frothy; fine strain into chilled glass","3 coffee beans","Martini / Coupe","SIDECAR – GK2, New Delhi"
Bhumi,Earthy Signature,"Mezcal; Beetroot Juice; Lime; Honey Syrup; Saline","Shake all with ice; double strain; serve up","Dehydrated beetroot chip","Nick & Nora","SIDECAR – GK2, New Delhi (ARQ menu)"
Barley,Low-ABV / Indian Ingredient,"Beer (light); Barley Water; Citrus; Honey","Build over ice; gentle stir; top with soda","Lemon wheel","Highball","SIDECAR – GK2, New Delhi (ARQ menu)"
Beet,Earthy Seasonal,"Vodka (beet-infused); Lemon; Cane Sugar Syrup; Egg White","Dry shake first; add ice; wet shake; fine strain","Dehydrated beet slice; dill sprig","Coupe","SIDECAR – GK2, New Delhi (ARQ menu)"
Betel,Indian Herbal,"Rum; Betel Leaf Extract; Lime Cordial; Clarified Butter Wash","Fat-washed spirit preparation; shake with ice; strain","Small betel leaf","Nick & Nora","SIDECAR – GK2, New Delhi (ARQ menu)"
Titepati,High-ABV / Herbal,"Mugwort (Titepati) Tincture; Bourbon; Dry Vermouth; Aromatic Bitters","Stir over ice; strain into chilled glass; 21.2% ABV serve","Mugwort leaf","Martini Glass","SIDECAR – GK2, New Delhi (ARQ menu)"
Tuk Tuk (Bangkok),Travel Signature,"Thai Basil-infused Gin; Coconut Water; Lemongrass Syrup; Lime; Kaffir Bitters","Shake with ice; fine strain into chilled coupe","Fresh Thai basil leaf; kaffir lime zest","Coupe","SIDECAR – GK2, New Delhi (Going Places menu)"
Paanch,Gin Citrus,"Turmeric-infused Gin; Fresh Ginger; Honey Syrup; Citrus (Lemon & Lime); Tonic Water","Combine gin, ginger, honey and citrus in shaker; shake; strain into ice-filled glass; top with tonic","Dried turmeric slice; mint sprig","Highball / Copa","Slink & Bardot – Worli, Mumbai"
Koli Echoes,Fruit & Umami,"Sake; Lychee Puree; Fresh Lime; Lychee Liqueur","Shake all ingredients with ice; fine strain into chilled coupe","Lychee sphere","Coupe","Slink & Bardot – Worli, Mumbai"
Bar-Do Mule,Spritzy / Fruity,"Vodka or Rum; Fresh Raspberry Puree; Lime Juice; Ginger Beer","Build in glass over ice; top with ginger beer; gentle stir","Raspberry; lime wheel; mint","Highball / Moscow Mule Copper Mug","Slink & Bardot – Worli, Mumbai"
Ready Steady,Rum & Fruit,"Short Story White Rum; Plantation Dark Rum; Chikoo (Sapodilla) Puree; Green Tea Clarified Milk; Indian Spices","Milk-clarify the blend by adding milk to spirit-tea mixture; strain through cheesecloth; serve over a single large ice cube","Dried chikoo chip","Rock / Lowball","O Pedro – BKC, Mumbai"
Marga Lisa,Spicy Tropical,"Tequila; Jalapeño; Habanero; Strawberry; Hibiscus Syrup; Coriander; Fresh Lime","Muddle chillies and coriander; add remaining ingredients; shake vigorously; fine strain into chilled glass","Dehydrated strawberry; chilli ring","Margarita / Coupe","O Pedro – BKC, Mumbai"
Nightwing,Stirred Japanese,"Japanese Whiskey; Plum Liqueur; Spiced Bitters; Demerara","Stir all ingredients with ice; strain over large ice cube","Skewered dried plum","Rock / Lowball","O Pedro – BKC, Mumbai"
Ziggy Zag,Savoury Martini,"Caper-infused Vodka (Ishka Farm Capers); Dry Vermouth; Caper Brine Rinse","Rinse chilled glass with caper brine; stir spirit and vermouth with ice; strain","Three skewered capers","Martini Glass","O Pedro – BKC, Mumbai"
Last Cucumber,Savoury Herbaceous,"Green Pea & Parsley-infused Short Story Vodka; Dill-infused Dry White Wine; Cucumber Pickle Brine; Honey-Pepper Syrup","Combine all in mixing glass; stir with ice; strain into chilled glass","Thin cucumber ribbon; dill frond","Nick & Nora / Martini","O Pedro – BKC, Mumbai"
Made in Heaven,Tropical Rum,"Aged Rum; Coconut Rum; Frozen Strawberries; Coconut Milk; Fresh Pineapple; Acid Solution","Blend strawberries and pineapple; combine with rums and coconut milk; shake with ice; fine strain","Toasted coconut flake; freeze-dried strawberry","Coupe / Coupette","SOKA Cocktail Bar – Indiranagar, Bengaluru"
Misunderstood B.J. (Bourbon Julep),Bourbon & Smoke,"Jim Beam Bourbon; Laphroaig Single Malt Scotch; Fresh Lime Juice; Sugar Syrup; Fresh Mint Leaves; Sparkling Wine; Aromatic Bitters","Muddle mint with sugar; add bourbon, Scotch, lime and bitters; shake with ice; strain; top with sparkling wine","Mint bouquet; charred lemon wheel","Julep Cup / Highball","SOKA Cocktail Bar – Indiranagar, Bengaluru"
I Blame Jasmine,Floral Gin,"Hapusa Gin; Tamras Gin; Aperol; Carbonated Jasmine Cordial (house-made)","Combine gins and Aperol; chill; carbonate with jasmine cordial; serve","Jasmine blossom","Wine Glass / Spritz Glass","SOKA Cocktail Bar – Indiranagar, Bengaluru"
Sakkath Martini (Next-Gen Martini),Spirit-Forward Martini,"Bulldog Gin; Extra Dry Vermouth; Choya Plum Wine; Herb Tincture (house-made)","Stir all ingredients with ice; fine strain into pre-chilled glass","Lemon zest twist","Martini Glass","SOKA Cocktail Bar – Indiranagar, Bengaluru"
3 Gin Vesper Martini,Spirit-Forward Martini,"Stranger & Sons Gin; Hapusa Himalayan Dry Gin; Greater Than London Dry Gin; Lillet Blanc; Saline Solution","Pre-dilute the three named gins with Lillet; freeze; pour directly from the frozen bottle into a chilled glass","Lemon twist","Martini Glass / Nick & Nora","Bar Spirit Forward – Lavelle Rd, Bengaluru"
Southern Star,Tequila & Fermented Fruit,"Tequila Blanco; Fermented Plum; Guava; Pickled Jalapeño Brine; Fresh Lime","Combine all in shaker; shake well; double strain into chilled coupe","Chilli-salted rim; lime wheel","Coupe","Bar Spirit Forward – Lavelle Rd, Bengaluru"
Campfire Old Fashioned,Stirred Whiskey,"Smoky Bourbon or Rye; Demerara Syrup; Hickory/Campfire Bitters; Expressed Orange Peel","Stir over large ice until well chilled; strain over large cube; express orange peel over glass","Charred orange peel","Rock / Old Fashioned","Bar Spirit Forward – Lavelle Rd, Bengaluru"
Old Cuban,Rum & Sparkling,"Dark Aged Rum; Fresh Lime Juice; Mint; Simple Syrup; Angostura Bitters; Prosecco","Muddle mint with syrup; add rum, lime, bitters and ice; shake; fine strain; top with prosecco","Mint sprig; lime wedge","Coupe / Flute","Bar Spirit Forward – Lavelle Rd, Bengaluru"
XOXO (Cholatails),Luxury Old Fashioned Riff,"XO Cognac; Peated Malt Whisky; Nannari (Indian Sarsaparilla) Syrup; Saffron Tincture","Build in mixing glass; stir with ice; strain over single large cube; accompany with chocolate cigar garnish","House-made chocolate cigar","Rock Glass / Lowball","The Cheroot Malt Bar – ITC Grand Chola, Chennai"
Puli (Cholatails),Tamarind Sour,"Whisky or Rum; Puli (Tamarind) Concentrate; Jaggery Syrup; Fresh Lime; Saline","Combine all; shake with ice; fine strain into chilled glass","Tamarind candy rim; dried chilli","Coupe","The Cheroot Malt Bar – ITC Grand Chola, Chennai"
Novel Sour (Cholatails),Aromatic Sour,"Brandy or Gin; Pisin (Basil Seed) Soaked Syrup; Egg White; Nannari Cordial; Citrus","Dry shake; wet shake with ice; fine strain; float pisin on foam surface","Bloomed basil seeds on foam","Coupe","The Cheroot Malt Bar – ITC Grand Chola, Chennai"
The Expedition (Cholatails),Herbal Adventure,"Rum; Long Pepper Tincture; Coconut Water; Local Grape Cola; Lime","Combine and shake; pour over ice; top with grape cola","Long pepper wheel; lime wedge","Highball","The Cheroot Malt Bar – ITC Grand Chola, Chennai"
Diddly Doo,Boozy Breakfast,"Lucifer Gold Whiskey; Freshly Squeezed Orange Juice; Malt & Beer Syrup; Amaro Abano","Combine whiskey, OJ, malt syrup and Amaro; shake; strain over ice","Dehydrated orange slice","Rocks / Tumbler","O Pedro – BKC, Mumbai"
Blue Pea Night,Negroni Riff,"Stranger & Sons Gin; Mezcal; Martini Dry Vermouth; Blue Pea Bitters","Stir all over ice; strain into chilled glass; pea bitters added last for colour","Blue pea flower","Nick & Nora","O Pedro – BKC, Mumbai"
